challenge_id,挑战名称,实际业务场景,MAU
112,【day1】重收益的张先生,惠居,317
114,谨慎装修的王先生,经纪、职能、娱乐,273
232,史今哥带你逛展厅样板房（91㎡）,整装,235
162,前来面试的王闹海,经纪、职能、娱乐,200
113,【day1】爱惜房子的王女士,惠居,155
119,【day3】学区房的孙女士,惠居,110
36,置换养老的李女士,经纪、职能、娱乐,104
120,【day4】在自如托管过的李先生,惠居,93
215,【惠居京南】（速练1）开场破冰,惠居,81
121,【day5】首次出租的王女士,惠居,78
224,【惠居京南】（速练2）现状澄清,惠居,68
225,【惠居京南】（速练3）产品匹配,惠居,67
1,工作繁忙的林小姐,整装,66
227,【惠居京南】（速练5）总结跟进,惠居,66
226,【惠居京南】（速练4）邀约线下,惠居,66
198,购房用于即将新婚的李先生,整装,64
216,【惠居京南】(演练1）重收益的张先生,惠居,64
122,【day6】替人出租的李女士,惠居,61
199,购房用于出租的陈女士,整装,58
200,套底价反复压价格李女士,整装,58
157,【云管家】在外地首次了解省心租的王女士,惠居,57
41,在乎优惠活动的丁先生,整装,57
222,【惠居京南】(演练7）老旧房子刘女士,惠居,57
223,【惠居京南】(演练8）以租换租刘先生,惠居,56
219,【惠居京南】(演练4）在自如托管过的李先生,惠居,55
217,【惠居京南】(演练2）爱惜房子的王女士,惠居,54
220,【惠居京南】(演练5）首次出租的王女士,惠居,53
218,【惠居京南】(演练3）学区房的孙女士,惠居,53
221,【惠居京南】(演练6）替人出租的李女士,惠居,52
194,【上海测试】重收益的李先生,惠居,50
159,【云管家】朋友被包租公司坑过，担心没保障的苏女士,惠居,49
32,兼顾上学和居住品质的王先生,经纪,48
158,【云管家】首次了解省心租，看重收益的李先生,惠居,48
42,想租一室户的年轻人卢先生,经纪,41
40,首次服务失望的李阿姨,整装,38
240,新房团装-申请退款的黄小姐,整装,33
33,看中交通便利的上班族刘小姐,经纪,32
151,【新人通关】被中介坑过的王先生,经纪、职能、娱乐,27
150,【新人通关】时间紧迫的赵女士,经纪、职能、娱乐,26
195,【上海测试】换租的赵女士,惠居,25
2,做不了主的张女士,整装,22
196,【上海测试】在自如托管过的金先生,惠居,22
197,【上海测试】老旧房子的刘阿姨（推荐美租）,惠居,21
4,想要报价的陈女士,整装,20
152,【新人通关】看中居住质量的刘小姐,经纪,19
204,【西安测试】对省心租服务价值存疑的王先生,惠居,19
156,【新人通关】在乎性价比的张先生,经纪,17
5,强势的李女士,整装,17
168,曹叔带你逛展厅new,整装,16
241,【云管家】退休在家的王阿姨,惠居,15
242,【云管家】非常爱惜房屋，对租客挑剔的郭女士,惠居,15
155,【新人通关】再次委托出租的钱女士,经纪,15
243,【云管家】打算卖房，担心省心租签约年限太长的张先生,惠居,15
30,不自住不急售的周女士,经纪、职能、娱乐,15
31,自住认为总会涨价的李姐,经纪、职能、娱乐,15
44,大姑的春节热线,经纪、职能、娱乐,14
3,要方案的王先生,整装,12
6,要效果图的刘先生,整装,12
34,预期偏高的张女士,经纪、职能、娱乐,11
45,需要被点燃的小赵,经纪、职能、娱乐,11
208,【台词版】注重养老的蔡叔叔,经纪、职能、娱乐,9
43,同事合租多套的蔡先生,经纪,9
201,【速练体验】现状澄清的房况确认考察,惠居,8
202,【宽松练习版】现状澄清的房况确认,惠居,7
7,Unknown,整装,7
210,【新版温和】注重养老的蔡叔叔,经纪、职能、娱乐,6
154,【新人通关】出租转出售的李女士,经纪、职能、娱乐,6
35,希望快速成交的李先生,经纪、职能、娱乐,5
209,【新版暴躁】注重养老的蔡叔叔,经纪、职能、娱乐,5
203,（改1）愿意尝试的包子铺老板娘李姐,经纪、职能、娱乐,5
38,二次进店的俞先生,整装,4
73,了解美化后有疑问的胡女士,经纪、职能、娱乐,4
72,首次了解美化套餐的张姐,经纪、职能、娱乐,3
37,对全包公司失望的杜先生,整装,2
9,Unknown,整装,1
8,Unknown,整装,1
39,看好装修公司的王女士,整装,1
